VendorID,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,RatecodeID,Airport_fee,PULocationID,DOLocationID,payment_type,extra,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,6/29/2023 20:00,6/29/2023 19:17,1,9.05,1,1.75,140,152,Credit Card,5,13.88,6.55,1,67.21,0
1,6/30/2023 15:41,6/30/2023 17:16,2,0.47,1,0,34,224,Credit Card,2.5,2.40,0,1,13.92,2.5
0,6/30/2023 11:04,6/30/2023 10:58,2,4.3,1,0,25,225,Cash,2.5,2.90,0,1,27.3,2.5
0,6/28/2023 17:49,6/28/2023 17:49,1,17.8,1,1.75,89,222,Credit Card,9.25,20.79,0,1,95.45,0
1,6/29/2023 17:43,6/29/2023 18:51,2,33.95,3,0,223,223,Cash,2.5,3.18,29,1,194.8,0
0,6/30/2023 16:53,6/30/2023 18:41,0,1.3,1,0,239,47,Credit Card,5,3.90,0,1,17.5,2.5
0,6/29/2023 7:44,6/29/2023 8:57,1,2,99,0,196,158,Credit Card,0,0.88,0,1,48,0
1,6/28/2023 18:14,6/28/2023 18:49,1,1.53,1,0,210,203,Credit Card,2.5,5.19,0,1,18.2,2.5
1,6/30/2023 9:17,6/30/2023 10:20,1,2.86,1,0,200,256,Credit Card,0,7.62,0,1,24.36,2.5
1,6/29/2023 15:36,6/29/2023 17:15,1,1.98,1,0,73,59,Credit Card,0,5.52,0,1,22.54,2.5
1,6/29/2023 23:59,6/29/2023 23:10,,2.8,,,216,21,Wallet,0,6.08,0,1,26.93,
1,6/30/2023 12:21,6/30/2023 12:16,2,3.29,1,0,192,113,Credit Card,0,2.68,0,1,29.3,2.5
1,6/30/2023 0:18,6/30/2023 0:40,1,3.9,1,0,128,220,Credit Card,1,8.99,0,1,43.2,2.5
1,6/29/2023 14:02,6/29/2023 13:48,1,18.19,2,1.75,80,14,Credit Card,0,19.17,6.55,1,98.76,2.5
0,6/28/2023 19:01,6/28/2023 20:04,2,1.6,1,0,93,254,Cash,5,2.28,0,1,17.2,2.5
0,6/29/2023 7:06,6/29/2023 7:42,1,1.1,1,0,77,124,UPI,2.5,3.67,0,1,11.9,2.5
1,6/28/2023 19:03,6/28/2023 18:30,1,1.91,1,0,22,97,Credit Card,2.5,8.35,0,1,24.84,2.5
1,6/29/2023 13:23,6/29/2023 13:31,1,2.28,1,0,133,13,Credit Card,0,2.95,0,1,24.4,2.5
1,6/30/2023 14:26,6/30/2023 12:46,1,0.57,1,0,110,182,Credit Card,0,5.83,0,1,11.76,2.5
1,6/29/2023 18:40,6/29/2023 20:11,1,17.33,2,0,193,206,Credit Card,5,4.35,6.55,1,85.55,2.5
0,6/30/2023 12:15,6/30/2023 11:08,1,1.3,1,0,232,148,Credit Card,2.5,5.55,0,1,15.12,2.5
1,6/29/2023 8:49,6/29/2023 8:37,1,2.17,1,0,27,65,Cash,0,0.00,0,1,22.4,2.5
1,7/1/2023 0:03,6/30/2023 23:25,1,1.39,1,0,210,248,Credit Card,1,4.92,0,1,18.7,2.5
0,6/28/2023 18:25,6/28/2023 19:16,2,1.2,1,0,239,236,Credit Card,5,3.31,0,1,16.61,2.5
1,6/30/2023 19:42,6/30/2023 21:19,1,2,1,0,49,221,Credit Card,1,5.89,0,1,22.2,2.5
0,6/30/2023 15:48,6/30/2023 15:42,1,10,1,1.75,74,192,Credit Card,9.25,16.03,6.55,1,68.85,2.5
1,6/28/2023 19:58,6/28/2023 21:45,1,2.21,1,0,119,241,Credit Card,1,4.23,0,1,23.88,2.5
1,6/30/2023 14:54,6/30/2023 14:13,2,3.54,1,0,189,128,Credit Card,0,7.85,0,1,35.28,2.5
1,6/29/2023 20:19,6/29/2023 21:10,1,2.41,1,0,163,147,Cash,2.5,2.51,0,1,23.5,2.5
0,6/28/2023 22:27,6/28/2023 22:31,1,4.8,1,0,16,7,Credit Card,3.5,10.22,0,1,36.48,2.5
1,6/30/2023 2:43,6/30/2023 3:44,,18.98,,,72,263,Wallet,0,11.59,12.75,1,83.24,
1,6/29/2023 8:46,6/29/2023 10:00,1,9.52,1,1.75,202,53,Credit Card,5,14.53,6.55,1,74.41,2.5
1,6/29/2023 17:55,6/29/2023 18:21,1,2.25,1,0,84,217,Credit Card,2.5,6.69,0,1,29.04,2.5
1,6/30/2023 22:28,6/30/2023 23:33,,1.36,,,116,128,Wallet,0,4.93,0,1,20.69,
0,6/30/2023 14:28,6/30/2023 15:56,1,19.3,2,1.75,40,68,Credit Card,4.25,14.73,6.55,1,92.3,2.5
0,6/28/2023 18:25,6/28/2023 19:29,1,1.1,1,0,4,222,Credit Card,5,6.29,0,1,21.2,2.5
0,6/29/2023 19:16,6/29/2023 19:33,1,2.9,1,0,35,160,Cash,5,1.16,0,1,23.5,2.5
1,6/30/2023 16:05,6/30/2023 16:16,1,1.43,1,0,13,185,Cash,0,0.40,0,1,14,2.5
0,6/30/2023 13:06,6/30/2023 14:33,0,2.1,1,0,159,30,Credit Card,2.5,5.67,0,1,21.8,2.5
1,6/29/2023 19:56,6/29/2023 19:46,1,0.8,1,0,142,128,Cash,2.5,2.87,0,1,18.6,2.5
1,6/30/2023 21:27,6/30/2023 20:26,4,5.71,1,0,253,106,Credit Card,1,7.63,0,1,35.64,2.5
1,6/30/2023 15:13,6/30/2023 16:15,1,22.42,2,1.75,56,29,Credit Card,0,17.87,6.55,1,97.3,2.5
1,6/29/2023 17:56,6/29/2023 18:29,1,0.01,5,0,214,218,Credit Card,0,12.03,15.8,1,88.9,2.5
1,6/28/2023 16:57,6/28/2023 17:17,1,0.92,1,0,114,80,Credit Card,2.5,7.27,0,1,18.12,2.5
1,6/29/2023 17:02,6/29/2023 16:39,1,4,1,0,20,232,Credit Card,2.5,8.39,0,1,41.64,2.5
1,6/29/2023 17:01,6/29/2023 18:29,1,0.84,1,0,110,22,Credit Card,2.5,7.76,0,1,18.12,2.5
0,6/30/2023 22:45,6/30/2023 21:49,1,0.7,1,0,122,21,Credit Card,3.5,3.13,0,1,13.4,2.5
1,6/29/2023 14:56,6/29/2023 15:51,1,7.12,1,0,58,184,Credit Card,0,15.25,0,1,63.84,2.5
0,6/29/2023 10:19,6/29/2023 10:18,1,3,1,0,141,180,Credit Card,2.5,6.84,0,1,25.2,2.5
1,6/29/2023 16:10,6/29/2023 14:32,1,0.38,1,0,71,229,Credit Card,0,5.17,0,1,11.76,2.5
1,6/28/2023 17:42,6/28/2023 18:41,3,1.91,1,0,32,137,Credit Card,2.5,6.70,0,1,35.76,2.5
1,6/29/2023 18:16,6/29/2023 18:15,1,0.7,1,0,160,150,Credit Card,2.5,2.78,0,0.3,14.76,2.5
1,6/30/2023 8:53,6/30/2023 7:38,1,1.82,1,0,49,260,Credit Card,0,6.50,0,1,18.48,2.5
1,6/30/2023 16:32,6/30/2023 16:25,1,1.09,1,0,139,240,Credit Card,0,3.50,0,1,15.96,2.5
1,6/28/2023 17:05,6/28/2023 17:50,1,1.33,1,0,181,242,Cash,2.5,2.61,0,1,22.1,2.5
1,6/29/2023 18:58,6/29/2023 20:16,2,3.55,1,0,246,16,Credit Card,2.5,4.70,0,1,26.3,2.5
0,6/30/2023 15:56,6/30/2023 16:27,3,1.1,1,0,78,97,Cash,5,3.58,0,1,18.6,2.5
1,6/29/2023 19:39,6/29/2023 19:54,1,10.58,1,1.75,20,15,Credit Card,7.5,15.31,6.55,1,82.6,2.5
1,6/28/2023 18:23,6/28/2023 18:35,2,2.11,1,0,125,117,Credit Card,2.5,6.26,0,1,22.32,2.5
1,6/30/2023 11:12,6/30/2023 11:51,2,2.15,1,0,260,29,Cash,0,2.00,0,1,19.6,2.5
0,6/30/2023 19:48,6/30/2023 19:27,1,2.6,1,0,169,215,Credit Card,5,7.56,0,1,25.65,2.5
1,6/29/2023 20:28,6/29/2023 20:07,1,1.25,1,0,1,70,Credit Card,1,4.89,0,1,16.32,2.5
0,6/30/2023 12:59,6/30/2023 13:33,1,7.2,1,1.75,102,70,Credit Card,6.75,9.31,6.55,1,55.8,0
1,6/28/2023 21:14,6/28/2023 20:55,1,1.2,1,0,89,109,Credit Card,1,4.38,0,1,15.48,2.5
0,6/30/2023 18:27,6/30/2023 19:01,1,5.9,1,0,264,128,Credit Card,5,2.87,0,1,35.1,2.5
1,6/28/2023 19:23,6/28/2023 19:42,1,5.63,1,0,76,183,Credit Card,2.5,7.52,0,1,43.56,2.5
0,6/28/2023 20:38,6/28/2023 20:38,1,1.7,1,0,209,73,Credit Card,3.5,4.32,0,1,19.6,2.5
1,6/29/2023 13:06,6/29/2023 13:49,1,0.41,1,0,31,48,Credit Card,0,4.77,0,1,10.92,2.5
1,6/28/2023 16:16,6/28/2023 18:23,1,18.58,2,-1.75,106,231,Cash,-5,3.05,-6.55,-1,-87.3,-2.5
1,6/30/2023 22:18,7/1/2023 0:15,1,1.38,1,0,149,159,Credit Card,1,0.67,0,1,18.3,2.5
1,6/30/2023 14:57,6/30/2023 15:52,1,1.52,1,0,215,117,Credit Card,0,5.09,0,1,17.64,2.5
1,6/30/2023 22:34,6/30/2023 21:59,1,2.1,1,0,90,91,Cash,1,1.32,0,1,17.1,2.5
0,6/29/2023 10:07,6/29/2023 10:24,1,3.8,1,0,118,182,Cash,2.5,1.59,0,1,25.2,2.5
1,6/30/2023 0:50,6/30/2023 1:18,1,1.53,1,0,151,189,Credit Card,1,4.41,0,1,17.16,2.5
1,6/28/2023 18:18,6/28/2023 20:04,1,13.95,5,0,26,207,Credit Card,0,11.52,0,1,136,0
1,6/29/2023 8:01,6/29/2023 8:37,1,1.03,1,0,260,151,Credit Card,0,4.91,0,1,12.6,2.5
1,6/30/2023 9:25,6/30/2023 10:48,1,3.22,1,0,197,11,Credit Card,0,3.95,0,1,29.78,2.5
0,6/29/2023 10:22,6/29/2023 9:11,1,0.5,1,0,26,48,Credit Card,2.5,6.98,0,1,13.95,2.5
1,6/29/2023 2:34,6/29/2023 1:37,1,1,1,0,113,179,Cash,1,1.33,0,1,14.3,2.5
1,6/28/2023 16:54,6/28/2023 17:33,1,3.18,1,0,199,37,Credit Card,2.5,9.74,0,1,34.7,2.5
0,6/30/2023 19:39,6/30/2023 18:39,2,0.1,1,0,75,255,Cash,5,3.46,0,1,10.2,2.5
1,6/30/2023 19:45,6/30/2023 20:18,1,11.49,1,1.75,95,35,Credit Card,7.5,12.09,6.55,1,77.9,0
1,6/29/2023 9:08,6/29/2023 8:25,2,0.01,5,0,50,257,Credit Card,0,20.25,0,1,99.96,0
1,6/30/2023 23:06,7/1/2023 0:06,2,3.33,1,0,93,23,Credit Card,1,7.37,0,1,28.08,2.5
0,6/28/2023 23:19,6/28/2023 23:09,1,5,1,0,97,84,Cash,3.5,2.32,0,1,26.9,2.5
1,6/30/2023 13:07,6/30/2023 13:08,1,1,1,0,214,154,Credit Card,0,5.01,0,1,12.9,2.5
1,6/29/2023 0:54,6/29/2023 1:07,1,2.3,1,0,53,165,Credit Card,1,9.74,0,1,21.32,2.5
1,6/28/2023 17:05,6/28/2023 17:41,1,4.16,1,0,18,50,Cash,2.5,1.89,0,1,29.8,2.5
0,6/30/2023 1:19,6/30/2023 1:54,1,6.9,1,0,19,135,Credit Card,3.5,11.41,0,1,43.2,2.5
1,6/30/2023 14:42,6/30/2023 14:55,1,5.67,1,1.75,168,184,Cash,0,3.40,0,1,27.95,0
0,6/30/2023 19:38,6/30/2023 20:39,1,2.7,1,0,53,229,Credit Card,3.5,3.99,0,1,24,2.5
1,6/29/2023 15:32,6/29/2023 16:15,1,1.16,1,0,29,243,Credit Card,0,3.05,0,1,15.96,2.5
1,6/30/2023 20:08,6/30/2023 20:26,2,1.71,1,0,97,9,Credit Card,2.5,2.47,0,1,22,2.5
0,6/29/2023 14:23,6/29/2023 15:49,1,0.3,1,0,185,45,Credit Card,2.5,2.49,0,1,17.4,2.5
1,6/28/2023 19:34,6/28/2023 19:05,1,7.44,1,0,50,247,Credit Card,2.5,9.28,0,1,49.2,2.5
1,6/30/2023 15:47,6/30/2023 16:30,2,2.25,1,0,15,249,Credit Card,0,3.37,0,1,20.2,2.5
1,6/30/2023 18:52,6/30/2023 18:53,2,0.74,1,0,150,104,Credit Card,2.5,4.22,0,1,13.92,2.5
0,6/28/2023 22:24,6/28/2023 21:57,,1.3,,,183,191,Wallet,1,5.14,0,1,17.25,
1,6/29/2023 18:27,6/29/2023 19:29,1,1.35,1,0,77,16,Credit Card,2.5,3.44,0,1,17,2.5
1,6/30/2023 16:23,6/30/2023 17:30,1,18.33,2,0,258,263,Credit Card,5,5.85,6.55,1,90.55,2.5
1,6/29/2023 8:26,6/29/2023 7:56,1,2.52,1,0,217,224,Credit Card,0,5.41,0,1,30.24,2.5
1,6/30/2023 14:29,6/30/2023 14:59,2,2.01,1,0,164,112,Cash,0,4.36,0,1,16.1,2.5
1,6/28/2023 19:16,6/28/2023 18:56,1,2.56,1,0,15,172,Credit Card,2.5,2.16,0,1,23.4,2.5
0,6/30/2023 3:45,6/30/2023 3:03,1,5.2,1,0,42,43,Credit Card,3.5,4.22,0,1,30,2.5
0,6/28/2023 21:19,6/28/2023 22:56,,0,,,8,40,Wallet,0,1.61,0,1,34.11,
1,7/1/2023 0:02,7/1/2023 0:34,2,3.5,1,0,226,176,Credit Card,1,5.19,0,1,28.92,2.5
1,6/30/2023 17:17,6/30/2023 17:20,2,1.48,1,0,179,108,Credit Card,2.5,6.29,0,1,24.3,2.5
1,6/30/2023 9:39,6/30/2023 10:51,6,2,1,0,1,53,Cash,0,3.15,0,1,18.2,2.5
0,6/30/2023 10:54,6/30/2023 10:33,1,1.3,1,0,215,149,Credit Card,2.5,6.43,0,1,18.2,2.5
0,6/30/2023 7:51,6/30/2023 8:50,4,16.7,2,1.75,116,102,Credit Card,4.25,18.77,6.55,1,98.75,2.5
0,6/29/2023 12:06,6/29/2023 12:31,1,1.8,1,0,144,159,Credit Card,2.5,6.05,0,1,21,2.5
1,6/29/2023 21:44,6/29/2023 23:26,1,17.99,2,1.75,252,224,Credit Card,0,19.03,6.55,1,98.76,2.5
0,6/30/2023 12:09,6/30/2023 13:27,2,2.3,1,0,124,170,Credit Card,2.5,7.83,0,1,27.95,2.5
0,6/29/2023 14:30,6/29/2023 14:04,1,0.7,1,0,244,136,Credit Card,2.5,5.79,0,1,19.25,2.5
1,6/29/2023 15:13,6/29/2023 14:31,1,1.94,1,0,164,159,Credit Card,0,4.86,0,1,19,2.5
1,6/28/2023 18:33,6/28/2023 17:42,1,1.37,1,0,18,16,Credit Card,2.5,6.78,0,1,19.8,2.5
1,6/28/2023 19:44,6/28/2023 21:09,1,11.08,1,1.75,51,236,Credit Card,6,17.18,6.55,1,76.45,2.5
1,6/29/2023 19:20,6/29/2023 18:37,3,2.42,1,0,241,61,Cash,2.5,1.94,0,1,23.5,2.5
0,6/29/2023 21:49,6/29/2023 23:13,1,4.8,1,0,187,34,Credit Card,3.5,8.22,0,1,35.4,2.5
1,6/30/2023 15:27,6/30/2023 16:23,1,10.39,1,1.75,99,179,Credit Card,5,10.05,6.55,1,75.3,2.5
1,6/29/2023 15:22,6/29/2023 16:41,2,1.02,1,0,182,210,Credit Card,0,5.24,0,1,17.64,2.5
1,6/29/2023 20:34,6/29/2023 20:57,3,1,1,0,110,223,Credit Card,1,4.02,0,1,15.48,2.5
1,6/29/2023 14:02,6/29/2023 15:03,3,0.8,1,0,49,230,Credit Card,0,5.81,0,1,17.64,2.5
1,6/30/2023 18:03,6/30/2023 16:42,1,1.66,1,0,18,7,Credit Card,2.5,4.36,0,1,21.23,2.5
1,6/30/2023 21:40,6/30/2023 21:53,1,0.98,1,0,50,73,Credit Card,1,4.61,0,1,13.9,2.5
0,6/30/2023 19:12,6/30/2023 19:58,2,2,1,0,113,127,Credit Card,5,8.59,0,1,29.85,2.5
1,6/28/2023 18:23,6/28/2023 18:41,1,3.12,1,0,32,154,Credit Card,2.5,3.31,0,1,23.5,2.5
1,6/29/2023 17:12,6/29/2023 17:56,1,1.03,1,0,20,23,Credit Card,2.5,5.92,0,1,18.96,2.5
1,6/29/2023 10:19,6/29/2023 10:11,1,1.04,1,0,38,5,Credit Card,0,2.42,0,1,13.44,2.5
1,6/30/2023 1:04,6/30/2023 1:29,1,5.96,1,0,186,230,Credit Card,1,4.35,0,1,33.4,2.5
0,6/29/2023 18:32,6/29/2023 19:11,1,1.1,1,0,150,85,Credit Card,5,6.30,0,1,21.45,2.5
0,6/30/2023 16:02,6/30/2023 16:56,1,0.5,1,0,183,264,Credit Card,5,3.28,0,1,13.3,2.5
1,6/29/2023 18:12,6/29/2023 18:19,1,2.43,1,0,107,118,Credit Card,2.5,5.13,0,1,27.36,2.5
0,6/29/2023 12:05,6/29/2023 13:35,1,0.5,1,0,64,27,Credit Card,2.5,3.76,0,1,11.75,2.5
1,6/29/2023 3:21,6/29/2023 3:51,1,6.02,1,0,189,34,Credit Card,1,7.80,0,1,37,2.5
1,6/29/2023 8:03,6/29/2023 9:39,1,6.04,1,0,177,92,Credit Card,0,1.92,0,1,34.6,2.5
1,6/29/2023 21:22,6/29/2023 22:47,1,8.73,1,1.75,209,233,Credit Card,6,16.85,6.55,1,64.25,2.5
1,6/29/2023 22:38,6/29/2023 21:27,1,3.52,1,0,32,220,Credit Card,1,3.34,0,1,22.7,2.5
1,6/30/2023 10:32,6/30/2023 10:55,4,2.07,1,0,47,2,Credit Card,0,7.03,0,1,21,2.5
1,6/30/2023 11:17,6/30/2023 12:16,1,1.08,1,0,194,156,Credit Card,0,3.23,0,1,15.12,2.5
1,6/28/2023 18:38,6/28/2023 19:38,1,1.95,1,0,222,208,Credit Card,2.5,8.90,0,1,24.84,2.5
1,6/30/2023 18:47,6/30/2023 19:20,2,1.06,1,0,16,94,Credit Card,2.5,5.44,0,1,19.8,2.5
1,6/30/2023 13:08,6/30/2023 13:12,1,3.18,1,0,167,107,Credit Card,0,6.08,0,1,30.24,2.5
1,6/30/2023 16:47,6/30/2023 15:52,2,2.23,1,0,187,261,Cash,-2.5,0.63,0,-1,-22.8,-2.5
1,6/28/2023 20:28,6/28/2023 22:40,1,11.52,1,0,204,100,Cash,1,0.71,0,1,55.2,0
1,6/29/2023 20:44,6/29/2023 20:52,6,17.97,2,1.75,159,81,Credit Card,5,15.90,6.55,1,100.3,2.5
1,6/29/2023 19:03,6/29/2023 19:23,1,0.99,1,0,3,137,Credit Card,2.5,6.17,0,1,15.6,2.5
0,6/30/2023 0:44,6/30/2023 0:55,1,0.9,1,0,214,170,Credit Card,3.5,4.28,0,1,13.6,2.5
1,6/29/2023 0:26,6/29/2023 1:30,1,0.6,1,0,111,33,Credit Card,1,3.66,0,1,13.5,2.5
1,6/29/2023 8:51,6/29/2023 9:46,1,1.45,1,0,236,260,Credit Card,0,7.41,0,1,17.64,2.5
1,6/30/2023 15:30,6/30/2023 15:15,1,2.42,1,0,144,100,Credit Card,0,10.21,0,1,28,2.5
0,6/30/2023 10:55,6/30/2023 10:54,1,2.6,1,0,243,10,Credit Card,2.5,7.64,0,1,26,2.5
0,6/29/2023 18:33,6/29/2023 19:21,1,2.9,1,0,149,134,Credit Card,5,9.29,0,1,36.6,2.5
0,6/29/2023 11:33,6/29/2023 11:58,1,7.8,1,1.75,193,261,Credit Card,9.25,15.18,6.55,1,61.3,2.5
1,6/29/2023 21:54,6/29/2023 20:37,1,1.17,1,0,75,151,Credit Card,1,6.13,0,1,16.32,2.5
1,6/30/2023 7:57,6/30/2023 7:51,1,2.19,1,0,41,155,Credit Card,0,5.57,0,1,23.52,2.5
1,6/30/2023 15:43,6/30/2023 15:07,1,1.02,1,0,218,93,Credit Card,0,4.70,0,1,20.02,2.5
1,6/28/2023 17:24,6/28/2023 18:25,1,2.3,1,0,240,102,Credit Card,2.5,6.25,0,1,25.68,2.5
0,6/30/2023 21:51,6/30/2023 21:45,2,3.5,1,1.75,209,245,Credit Card,7.75,4.67,0,1,26.25,0
1,6/30/2023 17:16,6/30/2023 17:17,1,2.38,1,0,236,119,Credit Card,2.5,7.22,0,1,29.64,2.5
1,6/30/2023 13:59,6/30/2023 13:05,1,0.89,1,0,143,115,Credit Card,0,7.38,0,1,14.28,2.5
1,6/30/2023 10:48,6/30/2023 10:41,,2.59,,,67,89,Wallet,0,3.83,0,1,23.36,
1,6/29/2023 23:36,6/30/2023 0:49,2,18.92,2,1.75,137,14,Credit Card,0,18.98,6.55,1,98.41,2.5
1,6/29/2023 3:55,6/29/2023 4:15,1,1.52,1,0,190,179,Credit Card,1,6.79,0,1,16.32,2.5
1,6/30/2023 16:30,6/30/2023 17:53,1,2.86,1,0,117,172,Credit Card,2.5,8.20,0,1,32.4,2.5
1,6/29/2023 8:54,6/29/2023 9:39,1,0.9,1,0,240,52,Credit Card,0,4.00,0,1,16.8,2.5
0,6/29/2023 18:42,6/29/2023 18:51,2,0.1,1,0,100,91,UPI,5,2.66,0,1,10.2,2.5
0,6/29/2023 14:48,6/29/2023 16:06,1,8,1,1.75,190,113,Credit Card,6.75,8.34,0,1,47.35,0
1,6/29/2023 12:28,6/29/2023 11:50,1,18.02,1,1.75,195,20,Cash,0,2.92,0,1,71.35,0
1,6/30/2023 15:51,6/30/2023 17:02,2,13.26,1,1.75,122,163,Credit Card,2.5,16.08,0,1,86.1,0
1,6/29/2023 17:57,6/29/2023 18:23,1,1.87,1,0,256,247,Credit Card,2.5,3.04,0,1,22,2.5
1,6/30/2023 18:19,6/30/2023 19:15,1,0.8,1,0,217,1,Credit Card,2.5,3.54,0,1,19.8,2.5
0,6/29/2023 23:38,6/29/2023 23:39,1,2.6,1,0,262,40,Credit Card,3.5,7.09,0,1,25.85,2.5
0,6/30/2023 19:28,6/30/2023 21:08,1,0,99,0,100,127,Credit Card,0,4.13,6.55,1,41.25,0
1,6/29/2023 17:35,6/29/2023 17:30,1,1.08,1,0,181,173,Credit Card,2.5,5.44,0,1,19.8,2.5
0,6/28/2023 21:40,6/28/2023 20:35,1,0.5,1,0,74,104,Credit Card,3.5,3.01,0,1,12.95,2.5
0,6/28/2023 23:26,6/29/2023 0:40,1,6.4,1,0,14,33,Credit Card,3.5,3.48,0,1,35.3,2.5
0,6/29/2023 12:15,6/29/2023 13:05,1,18.4,2,0,251,145,Credit Card,2.5,17.87,6.55,1,96.65,2.5
0,6/28/2023 17:46,6/28/2023 19:00,0,1.2,1,0,248,175,Credit Card,5,4.10,0,1,17.1,2.5
0,6/30/2023 10:36,6/30/2023 10:28,1,8.2,1,1.75,138,9,Credit Card,9.25,18.22,6.55,1,67.4,2.5
0,6/29/2023 11:50,6/29/2023 11:41,1,8,1,0,215,51,Cash,2.5,0.45,0,1,43.4,2.5
1,6/29/2023 14:39,6/29/2023 16:03,2,0.79,1,0,144,170,Cash,0,4.23,0,1,11.2,2.5
1,6/30/2023 10:23,6/30/2023 10:21,1,1.85,1,0,152,237,Credit Card,0,8.41,0,1,21,2.5
1,6/29/2023 20:52,6/29/2023 19:08,1,0.56,1,0,35,202,Credit Card,2.5,9.38,0,1,18,2.5
1,6/30/2023 7:39,6/30/2023 8:56,1,1.53,1,0,204,262,Credit Card,0,6.32,0,1,15.96,2.5
0,6/29/2023 18:41,6/29/2023 18:21,1,0,1,0,91,75,Credit Card,0,2.30,0,1,21.7,0
1,6/29/2023 0:42,6/28/2023 23:44,1,3.46,1,0,194,20,Credit Card,1,6.85,0,1,23.8,2.5
1,6/30/2023 12:52,6/30/2023 12:04,2,1.55,1,0,80,30,Credit Card,0,0.94,0,1,12.2,0
1,6/29/2023 13:01,6/29/2023 12:53,1,1.38,1,0,32,34,Credit Card,0,7.59,0,1,16.8,2.5
0,6/30/2023 8:30,6/30/2023 9:18,1,1.6,1,0,97,19,Credit Card,2.5,5.50,0,1,17.64,2.5
1,6/29/2023 19:57,6/29/2023 20:38,1,0.95,1,0,60,51,Credit Card,1,3.88,0,1,13.22,2.5
1,6/30/2023 16:49,6/30/2023 17:01,1,1.53,1,0,31,203,Credit Card,2.5,6.12,0,1,23.16,2.5
1,6/30/2023 12:51,6/30/2023 12:31,2,9.35,1,1.75,158,118,Credit Card,5,14.21,6.55,1,72.73,2.5
1,6/28/2023 18:00,6/28/2023 18:26,1,3.24,1,0,139,36,Credit Card,2.5,8.14,0,1,29.88,2.5
1,6/29/2023 17:13,6/29/2023 18:14,3,1.83,1,0,32,73,Credit Card,2.5,8.83,0,1,26.52,2.5
1,6/29/2023 22:00,6/29/2023 23:12,1,1.18,1,0,47,130,Credit Card,1,6.62,0,1,16.32,2.5
1,6/28/2023 19:16,6/28/2023 19:27,,3.99,,,99,204,Wallet,0,7.61,0,1,35.76,
